,date_sent,link,clicks,date
77,02/01/19 07:21:36,https://activategood.org/teenschangetheworld2019/support/,3,02/01/19
78,02/01/19 07:21:36,https://twitter.com/activategood,1,02/01/19
79,02/01/19 07:21:36,https://www.facebook.com/activategood/,1,02/01/19
80,02/01/19 07:21:36,https://www.instagram.com/activategood/,1,02/01/19
81,03/04/19 07:03:41,https://activategood.org/,4,03/04/19
82,03/04/19 07:03:41,https://activategood.org/nvw2019,94,03/04/19
83,03/04/19 07:03:41,https://activategood.org/opportunity/2327#tab-what,1,03/04/19
84,03/04/19 07:03:41,https://activategood.org/opportunity/2447#tab-details,18,03/04/19
85,03/04/19 07:03:41,https://activategood.org/opportunity/2656,2,03/04/19
86,03/04/19 07:03:41,https://activategood.org/opportunity/2656#tab-what,9,03/04/19
87,03/04/19 07:03:41,https://activategood.org/opportunity/3329#tab-what,14,03/04/19
88,03/04/19 07:03:41,https://activategood.org/opportunity/4218#tab-what,8,03/04/19
89,03/04/19 07:03:41,https://activategood.org/opportunity/4365,1,03/04/19
90,03/04/19 07:03:41,https://activategood.org/opportunity/4365#tab-what,29,03/04/19
91,03/04/19 07:03:41,https://activategood.org/opportunity/4405#tab-what,6,03/04/19
92,03/04/19 07:03:41,https://activategood.org/opportunity/4408#tab-what,13,03/04/19
93,03/04/19 07:03:41,https://activategood.org/teenschangetheworld2019/,47,03/04/19
94,03/04/19 07:03:41,https://twitter.com/activategood,2,03/04/19
95,03/04/19 07:03:41,https://www.facebook.com/activategood/,1,03/04/19
96,03/04/19 07:03:41,https://www.instagram.com/activategood/,2,03/04/19
97,03/12/20 19:15:25,http://https%3a%2f%2factivategood.org%2fopportunity,1,03/12/20
98,03/12/20 19:15:25,https://activategood.org/,49,03/12/20
99,03/12/20 19:15:25,https://activategood.org/covid-19-coronavirus-activate-good-response,1,03/12/20
100,03/12/20 19:15:25,https://activategood.org/covid-19-coronavirus-activate-good-response/,77,03/12/20
101,03/12/20 19:15:25,https://activategood.org/donate,52,03/12/20
102,03/12/20 19:15:25,https://activategood.org/opportunity,139,03/12/20
103,03/12/20 19:15:25,https://activategood.org/remote,324,03/12/20
104,03/12/20 19:15:25,https://twitter.com/activategood,55,03/12/20
105,03/12/20 19:15:25,https://www.facebook.com/activategood/,49,03/12/20
106,03/12/20 19:15:25,https://www.instagram.com/activategood/,51,03/12/20
107,03/17/20 13:58:30,http://https%3a%2f%2factivategood.org%2fcovid19%2f,2,03/17/20
108,03/17/20 13:58:30,https://activategood.org/,26,03/17/20
109,03/17/20 13:58:30,https://activategood.org/covid19/,242,03/17/20
110,03/17/20 13:58:30,https://activategood.org/donate,33,03/17/20
111,03/17/20 13:58:30,https://activategood.org/opportunity/4146,39,03/17/20
112,03/17/20 13:58:30,https://activategood.org/opportunity/4472,38,03/17/20
113,03/17/20 13:58:30,https://activategood.org/opportunity/5103,37,03/17/20
114,03/17/20 13:58:30,https://activategood.org/opportunity/5123,43,03/17/20
115,03/17/20 13:58:30,https://activategood.org/opportunity/5124,33,03/17/20
116,03/17/20 13:58:30,https://activategood.org/opportunity/5127,33,03/17/20
117,03/17/20 13:58:30,https://activategood.org/remote,78,03/17/20
118,03/17/20 13:58:30,https://docs.google.com/forms/d/e/1FAIpQLSf7SmiF1wB5iRgF_nY0t8nsyrBrhq6XLiVUfATtVUFQewznmw/viewform,70,03/17/20
119,03/17/20 13:58:30,https://twitter.com/activategood,37,03/17/20
120,03/17/20 13:58:30,https://www.facebook.com/activategood/,36,03/17/20
121,03/17/20 13:58:30,https://www.instagram.com/activategood/,34,03/17/20
122,04/01/20 14:36:28,http://activategood.org/thegoodhub,26,04/01/20
123,04/01/20 14:36:28,http://https%3a%2f%2fraleighmag.com%2f2020%2f03%2fgood-hub%2f,1,04/01/20
124,04/01/20 14:36:28,https://activategood.org/,36,04/01/20
125,04/01/20 14:36:28,https://activategood.org/donate,24,04/01/20
126,04/01/20 14:36:28,https://activategood.org/remote-volunteer-funding-for-causes/,48,04/01/20
127,04/01/20 14:36:28,https://activategood.org/remote-volunteer-project-pet-portraits,1,04/01/20
128,04/01/20 14:36:28,https://activategood.org/remote-volunteer-project-pet-portraits/,60,04/01/20
129,04/01/20 14:36:28,https://foodbankcenc.org/,25,04/01/20
130,04/01/20 14:36:28,https://raleighmag.com/2020/03/good-hub/,19,04/01/20
131,04/01/20 14:36:28,https://raleighmag.com/2020/03/raleigh-magazines-thirty-in-their-30s,1,04/01/20
132,04/01/20 14:36:28,https://raleighmag.com/2020/03/raleigh-magazines-thirty-in-their-30s/,30,04/01/20
133,04/01/20 14:36:28,https://twitter.com/activategood,22,04/01/20
134,04/01/20 14:36:28,https://volunteercaregiving.org/volunteer-2/#volunteer-signup,108,04/01/20
135,04/01/20 14:36:28,https://www.curamericas.org/volunteer-information/?__cf_chl_jschl_tk__=d8e97dfc653ae4b8de15128f83e701f6c84142a3-1585747410-0-AYq1u7njLVlrLdw5WSf0MyDjgMsj4IF8eJ6hXTMJVKVNNX3H8cYImkfUh8A09rDM4-JjjJ0rOxhDXXOptLIVK7J4_IuldLIVn3zMSnaCMowPODcnVzTb1bEzPpMGVfTDMD,23,04/01/20
136,04/01/20 14:36:28,https://www.facebook.com/activategood/,21,04/01/20
137,04/01/20 14:36:28,https://www.foodshuttle.org/,29,04/01/20
138,04/01/20 14:36:28,https://www.instagram.com/activategood/,23,04/01/20
139,04/01/20 14:36:28,https://www.wakemow.org/volunteer-application-mow-wake-county?fbclid=IwAR2EmNwC9TyoaZADjq2K7fDjqh7dGJuSxqjtV50nyRWeoqSvTql1glLQfUg,37,04/01/20
140,04/01/20 14:36:28,https://www.wcpss.net/domain/16591,57,04/01/20
141,04/01/20 14:36:28,https://youtu.be/_Llxn-psvfI,53,04/01/20
142,04/03/19 13:45:34,https://activategood.org/,5,04/03/19
143,04/03/19 13:45:34,https://activategood.org/improve-your-health-by-volunteering/,2,04/03/19
144,04/03/19 13:45:34,https://activategood.org/nonprofit/262,5,04/03/19
145,04/03/19 13:45:34,https://activategood.org/nvw2019,108,04/03/19
146,04/03/19 13:45:34,https://activategood.org/opportunity/2544#tab-what,8,04/03/19
147,04/03/19 13:45:34,https://activategood.org/opportunity/3106#tab-what,9,04/03/19
148,04/03/19 13:45:34,https://activategood.org/opportunity/4273#tab-what,2,04/03/19
149,04/03/19 13:45:34,https://activategood.org/opportunity/4445#tab-what,6,04/03/19
150,04/03/19 13:45:34,https://activategood.org/opportunity/4447#tab-what,11,04/03/19
151,04/03/19 13:45:34,https://activategood.org/opportunity/4505#tab-what,13,04/03/19
152,04/03/19 13:45:34,https://activategood.org/opportunity/4508,3,04/03/19
153,04/03/19 13:45:34,https://activategood.org/opportunity/614#tab-what,8,04/03/19
154,04/03/19 13:45:34,https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/,2,04/03/19
155,04/03/19 13:45:34,https://activategood.org/teenschangetheworld2019/,31,04/03/19
156,04/03/19 13:45:34,https://twitter.com/activategood,2,04/03/19
157,04/03/19 13:45:34,https://www.facebook.com/activategood/,2,04/03/19
158,04/03/19 13:45:34,https://www.instagram.com/activategood/,2,04/03/19
159,04/11/20 14:07:37,https://activategood.org/,10,04/11/20
160,04/11/20 14:07:37,https://activategood.org/blog,2,04/11/20
161,04/11/20 14:07:37,https://activategood.org/covid19/,66,04/11/20
162,04/11/20 14:07:37,https://activategood.org/donate,1,04/11/20
163,04/11/20 14:07:37,https://activategood.org/operationaccess/,386,04/11/20
164,04/11/20 14:07:37,https://activategood.org/opportunity/5135,122,04/11/20
165,04/11/20 14:07:37,https://activategood.org/remote-volunteer-opportunities,7,04/11/20
166,04/11/20 14:07:37,https://activategood.org/wp-content/uploads/2020/04/Op-Sr-Smiles-flyer-Apr2020.pdf,109,04/11/20
167,04/11/20 14:07:37,https://activategood.org/wp-content/uploads/2020/04/RemoteVolunteerProject-UpcycledButterflyFeeders.pdf,82,04/11/20
168,04/11/20 14:07:37,https://twitter.com/activategood,1,04/11/20
169,04/11/20 14:07:37,https://www.facebook.com/activategood/,4,04/11/20
170,04/11/20 14:07:37,https://www.instagram.com/activategood/,1,04/11/20
171,04/11/20 14:07:37,https://youtu.be/_Llxn-psvfI,2,04/11/20
172,04/22/20 12:07:49,http://wildwoodsfarmnc.com/,37,04/22/20
173,04/22/20 12:07:49,https://activategood.org/,35,04/22/20
174,04/22/20 12:07:49,https://activategood.org/donate,29,04/22/20
175,04/22/20 12:07:49,https://activategood.org/opportunity/5141,40,04/22/20
176,04/22/20 12:07:49,https://activategood.org/opportunity/5146,58,04/22/20
177,04/22/20 12:07:49,https://raleighmag.com/2020/03/good-hub/,25,04/22/20
178,04/22/20 12:07:49,https://twitter.com/activategood,25,04/22/20
179,04/22/20 12:07:49,https://www.curamericas.org/ourwork/,40,04/22/20
180,04/22/20 12:07:49,https://www.facebook.com/activategood/,32,04/22/20
181,04/22/20 12:07:49,https://www.instagram.com/activategood/,30,04/22/20
182,04/22/20 12:07:49,https://www.unchealthcare.org/coronavirus/ways-to-help/,74,04/22/20
183,04/22/20 12:07:49,https://youtu.be/_Llxn-psvfI,56,04/22/20
184,04/28/20 17:15:43,http://www.iamchrishendricks.com/,15,04/28/20
185,04/28/20 17:15:43,http://www.juniorachievementnc.com/,22,04/28/20
186,04/28/20 17:15:43,http://www.larryscoffee.com/,25,04/28/20
187,04/28/20 17:15:43,http://www.secondchancenc.org/,24,04/28/20
188,04/28/20 17:15:43,https://activategood.org/,20,04/28/20
189,04/28/20 17:15:43,https://activategood.org/covid19,13,04/28/20
190,04/28/20 17:15:43,https://activategood.org/covid19/,93,04/28/20
191,04/28/20 17:15:43,https://activategood.org/donate,17,04/28/20
192,04/28/20 17:15:43,https://activategood.org/operationhandup/,145,04/28/20
193,04/28/20 17:15:43,https://activategood.org/opportunity/5149,78,04/28/20
194,04/28/20 17:15:43,https://activategood.org/opportunity/5154,30,04/28/20
195,04/28/20 17:15:43,https://activategood.org/product/larrys-limited-edition-coffee-brew-good-blend/,44,04/28/20
196,04/28/20 17:15:43,https://activategood.org/remote,84,04/28/20
197,04/28/20 17:15:43,https://activategood.org/remote-volunteer-project-diy-shirt-toys-dogs/,58,04/28/20
198,04/28/20 17:15:43,https://oakcitycares.org/,24,04/28/20
199,04/28/20 17:15:43,https://twitter.com/activategood,18,04/28/20
200,04/28/20 17:15:43,https://www.facebook.com/activategood/,16,04/28/20
201,04/28/20 17:15:43,https://www.facebook.com/activategood/?eid=ARB4Q91jhFgegZJzKKRv8iaGGAJ26nTpKK8Yf1VHCIYABrkKOEJOyS7c9b884AJVFGedVYv3x6Y3JECy,11,04/28/20
202,04/28/20 17:15:43,https://www.facebook.com/events/2644248899232364/,22,04/28/20
203,04/28/20 17:15:43,https://www.instagram.com/activategood/,30,04/28/20
204,04/28/20 17:15:43,https://www.youtube.com/watch?v=0fDkaYSVkF4,25,04/28/20
205,05/01/19 15:21:32,https://activategood.org/,7,05/01/19
206,05/01/19 15:21:32,https://activategood.org/and-the-rest-was-history-a-volunteer-story/,1,05/01/19
207,05/01/19 15:21:32,https://activategood.org/cookbook,1,05/01/19
208,05/01/19 15:21:32,https://activategood.org/cookbook/,12,05/01/19
209,05/01/19 15:21:32,https://activategood.org/donate,2,05/01/19
210,05/01/19 15:21:32,https://activategood.org/nonprofit/262,8,05/01/19
211,05/01/19 15:21:32,https://activategood.org/opportunity/4331#tab-shifts,10,05/01/19
212,05/01/19 15:21:32,https://activategood.org/opportunity/4447#tab-what,8,05/01/19
213,05/01/19 15:21:32,https://activategood.org/opportunity/4529#tab-what,10,05/01/19
214,05/01/19 15:21:32,https://activategood.org/opportunity/4530#tab-shifts,5,05/01/19
215,05/01/19 15:21:32,https://activategood.org/opportunity/4532#tab-what,9,05/01/19
216,05/01/19 15:21:32,https://activategood.org/opportunity/4533#tab-what,7,05/01/19
217,05/01/19 15:21:32,https://activategood.org/opportunity/4539#tab-what,7,05/01/19
218,05/01/19 15:21:32,https://activategood.org/opportunity/4544#tab-what,25,05/01/19
219,05/01/19 15:21:32,https://activategood.org/passion-for-education-volunteer-story/,5,05/01/19
220,05/01/19 15:21:32,https://activategood.org/teenschangetheworld2019,2,05/01/19
221,05/01/19 15:21:32,https://activategood.org/teenschangetheworld2019/,41,05/01/19
222,05/01/19 15:21:32,https://twitter.com/activategood,1,05/01/19
223,05/01/19 15:21:32,https://www.facebook.com/activategood/,2,05/01/19
224,05/01/19 15:21:32,https://www.instagram.com/activategood/,4,05/01/19
225,05/05/20 08:40:17,http://www.iamchrishendricks.com/,22,05/05/20
226,05/05/20 08:40:17,http://www.zachstoychest.org/,19,05/05/20
227,05/05/20 08:40:17,https://activategood.org/,24,05/05/20
228,05/05/20 08:40:17,https://activategood.org/donate,25,05/05/20
229,05/05/20 08:40:17,https://activategood.org/opportunity/4146,33,05/05/20
230,05/05/20 08:40:17,https://activategood.org/opportunity/5103#tab-what,27,05/05/20
231,05/05/20 08:40:17,https://activategood.org/opportunity/5123,34,05/05/20
232,05/05/20 08:40:17,https://rustysrescueranch.com/,27,05/05/20
233,05/05/20 08:40:17,https://secure.lglforms.com/form_engine/s/Rkoj-1l4WVRIiWjqKEHuxA,27,05/05/20
234,05/05/20 08:40:17,https://twitter.com/activategood,14,05/05/20
235,05/05/20 08:40:17,https://www.facebook.com/activategood/,23,05/05/20
236,05/05/20 08:40:17,https://www.facebook.com/chris.hendricks2,18,05/05/20
237,05/05/20 08:40:17,https://www.facebook.com/events/2644248899232364/,29,05/05/20
238,05/05/20 08:40:17,https://www.guidestar.org/profile/20-3057526?fbclid=IwAR1hVPmSZc99Kkv52oJKWM2PaZYafyyprgMZqghP25-cwXRyWcgv7bjvcJQ,14,05/05/20
239,05/05/20 08:40:17,https://www.instagram.com/activategood/,25,05/05/20
240,05/05/20 08:40:17,https://www.youtube.com/watch?v=0fDkaYSVkF4,26,05/05/20
241,05/13/20 14:08:31,https://activategood.org/,31,05/13/20
242,05/13/20 14:08:31,https://activategood.org/donate,26,05/13/20
243,05/13/20 14:08:31,https://activategood.org/opportunity/5155#tab-details,37,05/13/20
244,05/13/20 14:08:31,https://activategood.org/opportunity/5160,42,05/13/20
245,05/13/20 14:08:31,https://activategood.org/triangle-nonprofits-pandemic/,30,05/13/20
246,05/13/20 14:08:31,https://activategood.org/virtual-volunteer-readers/,58,05/13/20
247,05/13/20 14:08:31,https://docs.google.com/forms/d/e/1FAIpQLSeS4odBWMq1CurCt9lk0J90bqWVarVJ3zEgXkMzRDgSxYbxlQ/viewform,40,05/13/20
248,05/13/20 14:08:31,https://foodshuttle.galaxydigital.com/agency/detail/?agency_id=93791,40,05/13/20
249,05/13/20 14:08:31,https://forms.gle/xhpLYnA55EkFj8zA7,121,05/13/20
250,05/13/20 14:08:31,https://twitter.com/activategood,25,05/13/20
251,05/13/20 14:08:31,https://www.catholiccharitiesraleigh.org/,28,05/13/20
252,05/13/20 14:08:31,https://www.facebook.com/activategood/,24,05/13/20
253,05/13/20 14:08:31,https://www.foodshuttle.org/,36,05/13/20
254,05/13/20 14:08:31,https://www.instagram.com/activategood/,17,05/13/20
255,05/13/20 14:08:31,https://www.learningtogether.org/,35,05/13/20
