link_num,string,link,date,date_sent,clicks,Value Only
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/nvw2019
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/teenschangetheworld2019/
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/teenschangetheworld2019/support/
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/opportunity/614#tab-what
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/opportunity/4447#tab-what
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/opportunity/4273#tab-what
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/opportunity/4505#tab-what
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/opportunity/2544#tab-what
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/nonprofit/262
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/opportunity/4445#tab-what
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/opportunity/3106#tab-what
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/opportunity/4508
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/
9,Learn More Register Here,https://activategood.org/teenschangetheworld2019/,04/03/19,04/03/19 13:45:34,31,https://activategood.org/improve-your-health-by-volunteering/
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/nvw2019
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/teenschangetheworld2019/
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/teenschangetheworld2019/support/
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/614#tab-what
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/4447#tab-what
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/4273#tab-what
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/4505#tab-what
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/2544#tab-what
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/nonprofit/262
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/4445#tab-what
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/3106#tab-what
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/opportunity/4508
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/spreading-good-junior-youth-group-of-tryon-pines/
11,Art Education Teaching Assistant,https://activategood.org/opportunity/614#tab-what,04/03/19,04/03/19 13:45:34,8,https://activategood.org/improve-your-health-by-volunteering/
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/nvw2019
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/teenschangetheworld2019/
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/teenschangetheworld2019/support/
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/opportunity/614#tab-what
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/opportunity/4447#tab-what
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/opportunity/4273#tab-what
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/opportunity/4505#tab-what
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/opportunity/2544#tab-what
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/nonprofit/262
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/opportunity/4445#tab-what
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/opportunity/3106#tab-what
12,Fundraising Events Coordination,https://activategood.org/opportunity/4447#tab-what,04/03/19,04/03/19 13:45:34,11,https://activategood.org/opportunity/4508
